"id","startTime","comparisonId"
2832,"2021-03-30 12:40:00.015",69
2833,"2021-03-30 13:00:00.025",92
2834,"2021-03-30 13:30:00.017",89
2835,"2021-03-30 14:00:00.005",67
2836,"2021-03-30 14:20:00.018",87
2837,"2021-03-30 14:50:00.007",86
2838,"2021-03-30 15:10:00.019",70
2839,"2021-03-30 15:40:00.008",65
2840,"2021-03-30 16:00:00.02",74
2841,"2021-03-30 16:30:00.009",72
2842,"2021-03-30 16:50:00.021",88
2843,"2021-03-30 17:20:00.01",75
2844,"2021-03-30 17:40:00.022",68
2845,"2021-03-30 18:10:00.011",66
2846,"2021-03-30 18:30:00.024",90
2847,"2021-03-30 19:00:00.013",73
2848,"2021-03-30 19:20:00.026",91
2849,"2021-03-30 19:50:00.013",76
2850,"2021-03-30 20:10:00.027",71
2851,"2021-03-30 20:40:00.015",69
2852,"2021-03-30 21:00:00.028",92
2853,"2021-03-30 21:30:00.015",89
2854,"2021-03-30 22:00:00.005",67
2855,"2021-03-30 22:20:00.015",87
2856,"2021-03-30 22:50:00.007",86
2857,"2021-03-30 23:10:00.017",70
2858,"2021-03-30 23:40:00.007",65
2859,"2021-03-31 00:00:00.018",74
2860,"2021-03-31 00:30:00.008",72
2861,"2021-03-31 00:50:00.019",88
2862,"2021-03-31 01:20:00.009",75
2863,"2021-03-31 01:40:00.02",68
2864,"2021-03-31 02:10:00.01",66
2865,"2021-03-31 02:30:00.021",90
2866,"2021-03-31 03:00:00.012",73
2867,"2021-03-31 03:20:00.022",91
2868,"2021-03-31 03:50:00.013",76
2869,"2021-03-31 04:10:00.023",71
2870,"2021-03-31 04:40:00.014",69
2871,"2021-03-31 05:00:00.023",92
2872,"2021-03-31 05:30:00.016",89
2873,"2021-03-31 06:00:00.004",67
2874,"2021-03-31 06:20:00.017",87
2875,"2021-03-31 06:50:00.006",86
2876,"2021-03-31 07:10:00.018",70
2877,"2021-03-31 07:40:00.007",65
2878,"2021-03-31 08:00:00.019",74
2879,"2021-03-31 08:30:00.007",72
2880,"2021-03-31 08:50:00.021",88
2881,"2021-03-31 09:20:00.007",75
2882,"2021-03-31 09:40:00.022",68
2883,"2021-03-31 10:10:00.009",66
2884,"2021-03-31 10:30:00.023",90
2885,"2021-03-31 11:00:00.01",73
2886,"2021-03-31 11:20:00.024",91
2887,"2021-03-31 11:50:00.011",76
2888,"2021-03-31 12:10:00.025",71
2889,"2021-03-31 12:40:00.012",69
2890,"2021-03-31 13:00:00.026",92
2891,"2021-03-31 13:30:00.014",89
2892,"2021-03-31 14:00:00.005",67
2893,"2021-03-31 14:20:00.016",87
2894,"2021-03-31 14:50:00.006",86
2895,"2021-03-31 15:10:00.016",70
2896,"2021-03-31 15:40:00.007",65
2897,"2021-03-31 16:00:00.017",74
2898,"2021-03-31 16:30:00.008",72
2899,"2021-03-31 16:50:00.018",88
2900,"2021-03-31 17:20:00.009",75
2901,"2021-03-31 19:35:51.554",89
2902,"2021-03-31 17:40:00.019",68
2903,"2021-03-31 20:01:13.448",65
2904,"2021-03-31 18:10:00.01",66
2905,"2021-03-31 20:17:34.974",67
2906,"2021-03-31 20:27:06.51",68
2907,"2021-03-31 18:30:00.021",90
2908,"2021-03-31 19:00:00.011",73
2909,"2021-03-31 19:20:00.021",91
2910,"2021-03-31 19:50:00.012",76
2911,"2021-03-31 20:10:00.021",71
2912,"2021-03-31 20:40:00.013",69
2913,"2021-03-31 21:00:00.021",92
2914,"2021-03-31 21:30:00.014",89
2915,"2021-03-31 22:00:00.005",67
2916,"2021-03-31 22:20:00.015",87
2917,"2021-03-31 22:50:00.006",86
2918,"2021-03-31 23:10:00.015",70
2919,"2021-03-31 23:40:00.007",72
2920,"2021-04-01 00:00:00.015",74
2921,"2021-04-01 00:30:00.008",75
2922,"2021-04-01 00:50:00.016",88
2923,"2021-04-01 01:20:00.009",66
2924,"2021-04-01 01:40:00.016",68
2925,"2021-04-01 02:10:00.01",73
2926,"2021-04-01 02:30:00.017",90
2927,"2021-04-01 03:00:00.011",76
2928,"2021-04-01 03:20:00.018",91
2929,"2021-04-01 03:50:00.013",69
2930,"2021-04-01 04:10:00.019",71
2931,"2021-04-01 04:40:00.014",89
2932,"2021-04-01 05:00:00.02",92
2933,"2021-04-01 05:30:00.015",87
2934,"2021-04-01 06:00:00.007",67
2935,"2021-04-01 06:20:00.017",70
2936,"2021-04-01 06:50:00.009",86
2937,"2021-04-01 07:10:00.018",74
2938,"2021-04-01 07:40:00.009",72
2939,"2021-04-01 08:00:00.02",88
2940,"2021-04-01 08:30:00.01",75
2941,"2021-04-01 08:50:00.02",65
2942,"2021-04-01 09:20:00.011",66
2943,"2021-04-01 09:40:00.022",68
2944,"2021-04-01 10:10:00.012",73
2945,"2021-04-01 10:30:00.023",90
2946,"2021-04-01 11:00:00.015",76
2947,"2021-04-01 11:20:00.026",91
2948,"2021-04-01 11:50:00.016",69
2949,"2021-04-01 12:10:00.027",71
2950,"2021-04-01 12:40:00.018",89
2951,"2021-04-01 13:00:00.028",92
2952,"2021-04-01 13:30:00.019",87
2953,"2021-04-01 14:00:00.006",73
